medium,ploidy,replicate,exp_folder,Position_n,run_number,Cell_ID,mKate_stain_index,mNeon_inside_cell_stain_index,mNeon_inside_mtNet_stain_index
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_19,6,2,3.1832396206575253,2.141441836695626,0.6184054653103243
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_20,6,1,2.946577146512771,2.601286578931066,0.6784811058180793
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_20,6,2,4.104292905670298,3.7122963767348685,0.06345253916176846
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_21,6,2,2.8281649173257497,3.2013415020401865,0.8500024891029293
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_21,6,3,3.331871019954624,3.442500340203073,0.9899991187644561
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_22,6,1,2.723471480150298,2.4744360634160656,0.7557648845675082
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_22,6,2,2.6425700495672917,2.33830501976908,0.7332828850156177
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_23,6,1,2.849540750353377,3.6035519779985794,0.8986384998991612
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_23,6,2,3.041705185062293,3.371171082953131,0.7737979278484429
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_24,6,2,2.8734526755200642,2.5465813743971806,0.9325508610805666
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_24,6,3,2.776652811678857,1.7018462134685641,0.5977355716353401
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_25,6,1,3.0938700606638303,2.7977736791372,0.987069033992938
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_25,6,2,2.926738319157739,2.892032070657356,0.8366424235824231
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_26,6,1,3.0982018054986877,2.5427005398775426,0.7938149474579419
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_26,6,2,3.1236228318143833,3.2388974989645205,0.9599654701558009
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_27,6,1,2.8078253754500797,2.742127994541415,0.6901005527745999
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_27,6,2,2.8089021580929954,2.950470822566669,0.7280538197388274
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_28,6,2,3.000600385102041,3.485210870202337,1.0303056913207647
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_28,6,3,3.3527179440276074,3.472667532868859,1.0320408614776886
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_29,6,1,2.6403431391444734,2.7144063828255023,0.6402310583967656
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_29,6,2,3.022591402929385,3.6114933655670254,0.9970370775181854
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_30,6,2,3.420355630221637,2.721988637961719,0.7788977136210716
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_30,6,3,3.8670964382528124,1.763852029701923,0.4829824788281208
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_31,6,1,3.34864717223904,3.6849698607100874,0.8622030256886664
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_31,6,2,3.1406555436082004,3.202934728346919,0.7859187414336344
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_32,6,1,3.2762828828466395,2.9612474252002445,0.8164834441488409
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_32,6,2,2.7876660432441698,2.3924634225038073,0.7379671600415065
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_33,6,2,3.1793147240397994,3.121101127102107,0.7262671643650938
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_33,6,3,3.159503879835973,3.426069411871437,0.8585420374061233
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_34,6,2,2.9836904074148616,2.317708021903149,0.6955253584352246
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_34,6,3,2.810559288356702,2.730139262615818,0.8167530658660034
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_35,6,1,3.214723383862756,3.0434278797225978,0.8849665590645377
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_35,6,2,3.004240882036057,3.2074717041301883,0.7514423048254837
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_36,6,2,3.010648874617541,2.8817688227943066,1.0186968331068553
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_36,6,3,3.584672177571134,2.5994757759882465,0.6171898277779032
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_37,6,1,3.3621730726757924,2.818979412218046,0.7349876528668382
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_37,6,2,4.058431674687329,3.3778662308862724,0.7158919601479864
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_38,6,1,2.4991873553442834,2.5499962561677143,0.6748039781262942
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_38,6,2,3.1567664308487386,4.2949968035165895,0.8635467532630013
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_39,6,1,2.694167617052671,2.51703731821684,0.8938447197715874
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_39,6,2,3.02946504788213,2.878270764071005,0.9118386635238624
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_40,6,1,2.6923280181862923,2.717207268023753,0.7877294238717125
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_40,6,2,3.247610864214626,3.23807989201591,0.6379848356137603
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_41,6,1,2.916092573776067,2.680313540635043,0.6752453098623828
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_41,6,2,2.9099420544850916,3.0441564673655117,0.7953866323967265
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_42,6,1,2.7337895096236724,2.813273985993547,0.7400675805778105
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_42,6,2,2.8125245466489828,3.1311023220874525,0.9782061355248898
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_43,6,1,3.3854946614239596,3.1953636286711764,0.7337741479286995
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_43,6,2,3.5228006644903163,3.719359295380777,0.9303320281827593
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_44,6,1,2.9673712661897946,2.033575680415085,0.4827347503521796
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_44,6,2,2.817104420187212,2.3998620519134835,0.6779472474871766
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_45,6,1,3.287450057016806,3.7506519317672224,1.0482330997508422
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_45,6,2,2.8774115718275057,2.609974532870819,0.7123874144828309
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_46,6,1,2.536279316889227,2.86886414549264,1.0538371606819228
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_46,6,6,2.726550430048273,3.09442472959325,0.9735303995338884
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_47,6,1,2.9918363954535954,2.7386818849558767,0.7188498990599635
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_47,6,2,2.844859745368224,2.923402873816169,0.8435994374506571
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_48,6,1,3.562168762591799,2.463818401953633,0.6841624184052731
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_48,6,2,3.5931874198451443,2.869794830018444,0.7138529099003268
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_49,6,1,2.886963962863308,2.8971798228155836,0.7038089984694013
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_49,6,2,2.8756841325194076,2.864655661255608,0.7086202177911111
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_50,6,1,3.337042946898974,3.088895712865087,0.7906903730346694
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_50,6,2,3.183517802980308,2.8445427189148855,0.8102935379741346
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_1,6,2,3.561170066014377,3.226326966631357,0.680842167619527
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_1,6,3,3.4258789631054944,2.8889089481165606,0.7223062114983816
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_2,6,1,2.6973174948426144,2.7135829159993454,0.6703823375103866
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_2,6,2,2.807526188142768,3.3908982726930206,0.979745093008996
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_3,6,1,2.8678708223763696,3.598069234167313,0.8164197881700779
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_3,6,2,3.192259046304672,3.583495815471557,0.802845504968472
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_4,6,1,2.5624327005168372,2.3949650808694476,0.7279378769373225
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_4,6,2,2.918387371363384,3.260431605533059,0.75425930767546
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_5,6,2,2.8507744820816705,2.64792327249272,0.606685480639204
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_5,6,3,3.3448994393321967,3.7930887685017787,0.879620770578063
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_6,6,1,3.170264631155638,2.786969164305119,0.7206499616016783
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_6,6,2,2.91180089222849,2.19237459665729,0.5718625705865039
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_7,6,1,3.244276535766841,2.3389058993798195,0.5186787345903364
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_7,6,2,2.9192392381596277,3.0760228976013035,0.6435611801246689
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_8,6,2,2.942460895305108,3.366555949695144,0.7403546450442978
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_8,6,4,2.531937096508996,3.070323702070568,0.7587819897593946
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_9,6,1,2.627266217574497,2.412796951630317,0.6472868139122426
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_10,6,2,2.997941962853249,3.5912645675304837,0.8450513748013131
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_10,6,4,3.3385851319672746,3.6488107718361458,0.8503121125835355
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_11,6,1,2.94840394129574,2.7884883445810313,0.666686353998581
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_12,6,1,2.6988831080690265,2.724540585088795,0.6482720911927171
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_12,6,2,3.102713709393648,2.800915935224154,0.6533447101272165
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_13,6,2,3.3422674723717054,2.0317755607830037,0.7060758644400437
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_13,6,3,3.973765184281896,3.030622704620922,0.9261793860409636
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_14,6,1,2.5973335355330915,3.069142850943624,0.8860964743824555
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_14,6,2,2.948343910335743,2.64730231015934,0.5997931488903193
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_15,6,1,3.385825388807673,2.3251735055217595,0.640845411666395
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_15,6,2,3.6449573809945597,2.8034031510392765,0.8094817439055055
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_16,6,2,3.7806703238280415,3.18701508657627,0.6937564134382945
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_16,6,4,2.7975289421862897,2.704935608785733,0.7521403025961049
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_17,6,2,2.485547228623712,2.873343751466519,0.6290739109856893
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_17,6,3,2.51936690835342,3.115982846357972,0.6409162706245373
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_18,6,1,2.751584086619315,3.0827006446618985,0.8430790524699713
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_19,6,2,2.722141809614522,2.5331334452341654,0.7682438795665851
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_19,6,3,3.36985171553492,3.870126785360226,0.8802487335781942
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_20,6,1,2.853342069931546,3.2836026429500453,0.8116541510829526
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_20,6,2,3.0818188719296984,4.551532901986731,1.200772699511258
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_21,6,1,2.9112915082704283,2.9468637191971574,0.6927183177091989
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_22,6,1,2.751986623754707,2.2922627227965173,0.5572426427258154
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_22,6,2,2.939164196151351,2.51976493076139,0.6183970593167792
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_23,6,1,2.7037318586625725,2.5760567369254184,0.658122968765701
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_23,6,2,3.32043269276933,,
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_24,6,2,2.756336238348757,2.8482270927641222,0.7192004486226818
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_24,6,3,3.154454020107826,3.202976395369943,0.8679405610626744
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_25,6,2,2.638415348683632,2.4925395510974075,0.6892986713574475
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_25,6,3,2.568203107011689,2.876332056410406,0.8084709691614145
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_26,6,1,3.248819855565549,3.3747424254948335,0.7639745968915927
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_26,6,2,3.2345582339165424,2.800641463494435,0.5897741264750223
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_27,6,2,3.171260819459605,3.2280270043074055,0.8245966416850466
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_27,6,3,3.1300236749289296,2.7884649032022466,0.6907723388692236
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_28,6,1,2.974724029215662,3.2837586365205795,0.8589182697069464
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_28,6,2,2.738853502634298,2.880012829699022,0.7331250915636017
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_29,6,1,2.5242029268127886,3.036178600095868,0.8731199435015523
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_29,6,2,2.8606145080688505,3.222896391168575,0.8519005151764114
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_30,6,1,2.7674084199083198,2.828517319617097,0.6987796224632649
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_30,6,2,3.1218973575925677,3.4813936817852253,0.885462403388862
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_31,6,1,2.8401779606372766,2.4178537202020642,0.7465085363351085
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_31,6,2,3.7212748381426994,2.2192913518956767,0.5608962861093343
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_32,6,2,2.911456476297281,2.9824081710511403,0.7596273620416021
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_32,6,3,3.0958453384328823,3.2003117979865934,0.7529779258795506
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_33,6,1,2.695132937582476,2.03080622923307,0.5072250605237555
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_33,6,2,3.00328171106163,2.437168282601603,0.7498879161317493
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_34,6,2,3.1592812933839975,3.028969326954287,0.6788100898029279
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_34,6,3,3.4531576305741636,3.7439484546553143,1.0623692143047898
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_35,6,1,2.7866976909325287,2.8254496118151646,0.6819637768555467
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_35,6,2,3.1992709668096255,2.9382284774438445,0.6678453722141193
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_36,6,2,2.8933110659065635,2.7146509498751246,0.8840121592701926
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_36,6,3,3.289705641375062,2.4350443373324153,0.944584583083507
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_37,6,1,2.6016689130312094,2.5897749315982397,0.7951359289249734
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_37,6,3,3.505551366792864,2.3609612319396507,0.7284507657479481
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_38,6,1,2.973278810922156,3.05873430410957,0.7412945632039027
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_38,6,2,2.5943302522778056,2.519433014309033,0.638185760350781
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_39,6,1,2.7859357097193858,2.5095498483301464,0.7125040694364893
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_39,6,2,3.4207303463589143,3.8958040701644503,1.091809188364349
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_40,6,1,3.2474798796035396,2.8458259470000136,0.6169340594370988
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_40,6,2,3.2855394136883023,2.771998343299878,0.6621295559082527
